# Result from 11 repetitions: median
#       ./bin/node-0.ming589-190606.advosuwmadison-pg0.wisc.cloudlab.us/sq-ll./bin/node-0.ming589-190606.advosuwmadison-pg0.wisc.cloudlab.us/lb-ll_lazy./bin/node-0.ming589-190606.advosuwmadison-pg0.wisc.cloudlab.us/lb-ll_pugh./bin/node-0.ming589-190606.advosuwmadison-pg0.wisc.cloudlab.us/lb-ll_copy./bin/node-0.ming589-190606.advosuwmadison-pg0.wisc.cloudlab.us/lf-ll_harris./bin/node-0.ming589-190606.advosuwmadison-pg0.wisc.cloudlab.us/lf-ll_michael./bin/node-0.ming589-190606.advosuwmadison-pg0.wisc.cloudlab.us/lf-ll_harris_opt
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
28      5487910     41.63   11.66       5010101     38.56   10.80       4956399     37.89   10.61       0           0.00    0.00        4785532     44.00   12.32       4932044     42.56   11.92       4769121     41.96   11.75       
29      5773554     42.29   12.26       5304868     39.42   11.43       5165861     38.13   11.06       4912353     10.24   2.97        4889329     43.41   12.59       4986810     41.55   12.05       4854518     41.24   11.96       
30      6120237     43.33   13.00       5490051     39.44   11.83       5447328     38.87   11.66       4909909     9.89    2.97        5193220     44.57   13.37       5237811     42.19   12.66       5290548     43.45   13.03       
31      6354777     43.54   13.50       5561745     38.66   11.99       5579855     38.53   11.94       0           0.00    0.00        5219327     43.35   13.44       5360604     41.79   12.95       5377278     42.73   13.25       
32      6661927     44.22   14.15       5696750     38.36   12.28       5804158     38.82   12.42       0           0.00    0.00        5551989     44.67   14.29       5531638     41.77   13.37       5581159     42.97   13.75       
33      6956656     44.78   14.78       5943513     38.81   12.81       5933708     38.49   12.70       4913881     9.00    2.97        5709487     44.54   14.70       5695071     41.70   13.76       5605680     41.85   13.81       
34      7268665     45.41   15.44       6258681     39.67   13.49       6133338     38.61   13.13       0           0.00    0.00        5683418     43.04   14.63       5888823     41.85   14.23       5841975     42.33   14.39       
35      7565367     45.91   16.07       6174536     38.02   13.31       6291327     38.48   13.47       4877214     8.42    2.95        5977105     43.97   15.39       6012402     41.51   14.53       5951529     41.89   14.66       
36      7866394     46.41   16.71       6416006     38.41   13.83       6465668     38.44   13.84       4886877     8.21    2.95        6191076     44.28   15.94       6015994     40.38   14.54       6040739     41.34   14.88       
37      8138150     46.72   17.29       6658508     38.78   14.35       6720343     38.88   14.38       4935012     8.06    2.98        6133446     42.68   15.79       6345887     41.44   15.33       6153246     40.97   15.16       
38      8509172     47.56   18.07       6683573     37.90   14.40       6555108     36.92   14.03       4922650     7.83    2.98        6545457     44.35   16.85       6354928     40.41   15.36       6417914     41.61   15.81       
39      8616808     46.93   18.30       6879699     38.01   14.83       6837289     37.53   14.64       4735139     7.34    2.86        6546609     43.22   16.85       6626179     41.06   16.01       6421942     40.57   15.82       
40      8951806     47.54   19.01       7159381     38.57   15.43       6947947     37.18   14.87       4743756     7.17    2.87        6977697     44.91   17.96       6744719     40.75   16.30       6908100     42.55   17.02       
41      8986298     46.56   19.09       7309478     38.42   15.75       7052275     36.82   15.10       63563       0.09    0.04        6767355     42.50   17.42       6621210     39.02   16.00       6818570     40.97   16.80       
42      8998852     45.51   19.11       7261988     37.26   15.65       7021366     35.78   15.03       41858       0.06    0.03        6868320     42.10   17.68       6803257     39.14   16.44       6756325     39.63   16.65       
43      8946804     44.19   19.00       7248295     36.32   15.62       7104717     35.37   15.21       30002       0.04    0.02        7007072     41.95   18.04       6903133     38.79   16.68       6790302     38.90   16.73       
44      8870557     42.82   18.84       7178529     35.16   15.47       7016598     34.13   15.02       22120       0.03    0.01        6798018     39.78   17.50       7035447     38.64   17.00       6838487     38.29   16.85       
45      9004173     42.50   19.13       7362036     35.26   15.86       7129280     33.91   15.26       15932       0.02    0.01        6895268     39.45   17.75       6973986     37.45   16.85       6894509     37.75   16.99       
46      8914313     41.16   18.93       7301703     34.21   15.73       7155971     33.30   15.32       20316       0.03    0.01        6856374     38.37   17.65       6913028     36.31   16.70       7040775     37.71   17.35       
47      8958685     40.49   19.03       7228901     33.14   15.58       7280308     33.16   15.58       16982       0.02    0.01        6942631     38.03   17.87       6924275     35.60   16.73       7037032     36.89   17.34       
48      9015160     39.89   19.15       7302641     32.79   15.74       7335988     32.71   15.70       13279       0.02    0.01        6957014     37.32   17.91       6977594     35.13   16.86       6807589     34.94   16.77       
